DrugBank_ID,UniProt_IDs_with_hits
DB00006,P00734
DB00091,P30405;P62937;Q08209;Q96LZ3
DB00114,O15269;O15270;O15382;O75600;O94903;O95470;P00505;P00734;P04181;P06737;P11216;P11217;P11926;P13196;P17174;P17735;P19113;P20132;P20711;P21549;P22557;P23378;P24298;P32929;P34896;P34897;P35520;P54687;P80404;Q05329;Q16719;Q16773;Q53ET4;Q6WRI0;Q6YP21;Q6ZQY3;Q8IUZ5;Q8N5Z0;Q8TD30;Q96A70;Q96EN8;Q96GA7;Q96GD0;Q96I15;Q99259;Q9BYV1;Q9GZT4;Q9HD40;Q9NUV7;Q9NVS9;Q9UGI5;Q9Y600;Q9Y617;Q9Y697
DB00118,P17707;P31153;P35520;Q00266;Q8N1G2
DB00119,O15374;O15375;O15403;O15427;O60669;O95907;P11177;P11498;P14618;P22748;P30613;P36021;P53985;P80404;Q9BYV1
DB00121,O00763;P05165;P05166;P11498;P50747;Q13085;Q96RQ3;Q9HCC0
DB00122,O14939;P06276;P22303;P36544;P49585;Q13393;Q15822;Q9Y5K3
DB00123,O43246;P30825;P52569;Q15046;Q8WY07
DB00126,O00469;O14832;O60568;O75936;P09172;P13674;P19021;Q02809;Q32P28;Q8IVL5;Q8IVL6;Q8N543;Q96KS0;Q9BY66;Q9GZT9;Q9H6Z9;Q9NVH6;Q9NXG6;Q9UGH3;Q9UHI7
DB00128,O75746;P00505;P08243;P14868;P17174;P22234;P30520;P43005;Q03154;Q05586;Q12797;Q12879;Q13224;Q6PI48;Q7L266;Q8N142;Q9UJS0
DB00129,P00480;P04181;P05089;P30825;P52569;P78540;Q9BXI2;Q9Y619
DB00130,P15104;P17812;Q06203
DB00131,O43741;P06737;P09467;P16220;P33121;P49773;P54619;P54646;P55263;Q07343;Q08499;Q08828;Q13131;Q9NR19;Q9UGI9;Q9UGJ0;Q9Y478
DB00132,O14842;O60427;O95864;P19793;P32418;P35354;P37231;Q03181;Q07869;Q8NER1;Q96RI1;Q9NXB9;Q9NYP7
DB00134,P50579;Q93088;Q99707;Q9UBK8
DB00136,P11473;P31260
DB00138,O60931;Q9UPY5
DB00139,P51649;Q9BXA5
DB00141,O60513;P15291;Q9UJ70;Q9UK23
DB00142,O00222;O00341;O14841;O15067;O15382;O15399;O94925;P00367;P00505;P07814;P08243;P15104;P17174;P17735;P24298;P39086;P42261;P42262;P42263;P43003;P43004;P43005;P48058;P48506;P48507;P48664;P49448;P49915;P54687;P54886;P80404;Q04609;Q05329;Q05586;Q05932;Q07075;Q12879;Q13002;Q13003;Q13224;Q13255;Q14831;Q14833;Q14957;Q16099;Q16478;Q5JPH6;Q6IA69;Q8N5Z0;Q8TCU5;Q8TD30;Q99259;Q9UDR5;Q9UI32;Q9ULA0;Q9UPY5;Q9Y617;Q9Y646
DB00143,O15217;O43708;O60760;O75715;P00390;P07203;P08263;P08684;P09210;P09211;P09488;P10768;P14780;P15121;P18283;P19440;P21266;P22352;P28161;P35754;P36969;P46439;P48637;P59796;P78417;Q03013;Q04760;Q16772;Q16775;Q6NSD4;Q7RTV2;Q8TED1;Q96SL4;Q9H4Y5;Q9NS18;Q9Y2Q3
DB00145,O60391;O75311;O75600;P13196;P21549;P22557;P23415;P23416;P34896;P34897;P41250;P48167;P48637;Q12879;Q14032;Q14330;Q14957;Q53ET4;Q9BYV1;Q9P0Z9
DB00146,P11473
DB00148,P06732;P12277;P12532;P17540;P48029
DB00151,P00505;P16455;P17174;P32929;P35520;P48506;P48507;P48637;P49589;Q16878;Q9HA77;Q9Y600;Q9Y697
DB00152,P0AFG8;Q9H3S4
DB00153,O00305;O00555;O43497;O60840;O95180;P11473;P54284;P54289;Q00975;Q01668;Q02641;Q08289;Q13698;Q13936;Q15878;Q7Z3S7;Q8IZS8;Q9NY47;Q9P0X4
DB00156,P26639;Q9BW92
DB00157,O00217;O14556;O14561;O43175;O43181;O43674;O43678;O43837;O43920;O60701;O75251;O75306;O75380;O75489;O94788;O95168;O95169;O95178;O95182;O95299;O95479;O96000;P00325;P00326;P00338;P00352;P00367;P00374;P00387;P00390;P03915;P04035;P04406;P05091;P05093;P07195;P07327;P07864;P08319;P08559;P09417;P09622;P10515;P11177;P11586;P11766;P12268;P13995;P14060;P14061;P14679;P15121;P15428;P16219;P17516;P17568;P19404;P20839;P21695;P23368;P26439;P28331;P28845;P29803;P30038;P30837;P30838;P31937;P32322;P37058;P37059;P40394;P40925;P40926;P40939;P42330;P43353;P47895;P48163;P48448;P48728;P49189;P49419;P49448;P49821;P50213;P51553;P51648;P51649;P51659;P51970;P52895;P56556;P56937;P80365;Q00796;Q02218;Q02252;Q02338;Q02928;Q04828;Q08426;Q13423;Q13630;Q15738;Q15800;Q16718;Q16795;Q16798;Q16836;Q16878;Q6ZMR3;Q92506;Q92781;Q96C36;Q99714;Q9BYZ2;Q9P0J0;Q9UBM7;Q9UDR5;Q9UI09;Q9Y6M9
DB00158,P41440;Q96NT5
DB00159,O14842;O15540;O60427;O60488;P23219;P32418;P35354;P37231;Q03181;Q07869;Q8NER1
DB00161,P05166;P26640;P54687
DB00163,O75469;O76054;P05771;P17252;P23743;P62714;P67775;Q9UDX3;Q9UDX4
DB00165,O00764;P20711
DB00166,O43766;Q9Y234;Q9Y289
DB00169,P11473
DB00170,P00734;P00740;P04070;P07225;Q06278
DB00173,O00763;P07741;P17802;P24666;P78362;Q13126;Q5SL87;Q9BY49
DB00174,O43776;P08243;Q15758;Q7L266;Q969I6;Q96I59;Q96QD8;Q99624;Q9H2H9
DB00175,P04035;Q92769
DB00176,P31645;Q12809
DB00181,O75899;P61073;Q9UBS5
DB00182,P07550;P08588;P08913;P13945;P14416;P18089;P18825;P21397;P23975;P25100;P27338;P31645;P35348;P35368;Q01959;Q05940;Q96RJ0
DB00184,P11511;P17787;P28329;P30532;P30926;P32297;P36544;P43681;Q05901;Q15822;Q15825;Q9GZZ6;Q9UGM1
DB00185,P11229;P20309
DB00189,O00591;O14764;P14867;P18505;P18507;P28472;P31644;P34903;P47869;P47870;P48169;P78334;Q16445;Q8N1C3;Q99928;Q9UN88
DB00191,P21397;P23975;P27338;P31645;Q01959
DB00194,P04293;P29275
DB00199,O43193;Q12809
DB00201,O00329;O00408;O60658;O76074;O76083;O95263;P0DMS8;P16499;P21817;P27815;P29274;P29275;P30542;P35913;P42336;P42338;P51160;P54750;P78527;Q01064;Q07343;Q08493;Q08499;Q13315;Q13370;Q13946;Q14123;Q14432;Q14571;Q14573;Q14643;Q9HCR9;Q9NP56;Q9Y233
DB00202,P08172;P17787;P20309;P30532;P30926;P32297;P36544;P43681;Q05901;Q15822;Q15825;Q9GZZ6;Q9UGM1
DB00204,O95069;Q12809;Q14500
DB00208,P25105;Q9H244
DB00213,O94760;P20648;P51164
DB00214,P55011;Q13621
DB00216,P08908;P28221;P28222;P30939
DB00219,P11229
