QueryID,BestEvalue,FASTA_Header,UniProt_ID,DrugBank_IDs
drugbank_target|A0A024R8I1,0,drugbank_target|A0A024R8I1 Voltage-dependent N-type calcium channel subunit alpha (DB00063; DB00381; DB00996),A0A024R8I1,DB00063;DB00381;DB00996
drugbank_target|A0A0H2UQB5,1.1e-12,drugbank_target|A0A0H2UQB5 LicC protein (DB12153),A0A0H2UQB5,DB12153
drugbank_target|A0A0T9AZ62,1.78e-21,drugbank_target|A0A0T9AZ62 ABC transporter ATP-binding protein (DB05154),A0A0T9AZ62,DB05154
drugbank_target|A0A143ZZK9,1.66e-93,drugbank_target|A0A143ZZK9 Non-SERCA-type Ca2+-transporting P-ATPase (DB11638),A0A143ZZK9,DB11638
drugbank_target|A0A5P8YJZ1,5.34e-08,drugbank_target|A0A5P8YJZ1 Putative stringent starvation protein A (DB04272),A0A5P8YJZ1,DB04272
drugbank_target|A0A6L8PBX8,1.68e-10,drugbank_target|A0A6L8PBX8 Enoyl-[acyl-carrier-protein] reductase [NADH] (DB08604),A0A6L8PBX8,DB08604
drugbank_target|A5U4F6,1.24e-28,drugbank_target|A5U4F6 L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (DB04209),A5U4F6,DB04209
drugbank_target|A5X5Y0,8.35e-41,drugbank_target|A5X5Y0 5-hydroxytryptamine receptor 3E (DB00246),A5X5Y0,DB00246;DB00715;DB00898;DB01049;DB01239;DB11273;DB12141;DB13345
drugbank_target|B4DP61,1.73e-06,drugbank_target|B4DP61 Survival motor neuron protein (DB13161),B4DP61,DB13161
drugbank_target|C0H4L1,5.85e-07,"drugbank_target|C0H4L1 Importin-7, putative (DB11638)",C0H4L1,DB11638
drugbank_target|C0H4V6,4.84e-92,drugbank_target|C0H4V6 14-3-3 protein (DB11638),C0H4V6,DB11638
drugbank_target|C0H4X5,2.07e-16,drugbank_target|C0H4X5 Anamorsin homolog (DB11638),C0H4X5,DB11638
drugbank_target|C0H4Y6,1.25e-70,drugbank_target|C0H4Y6 Protein disulfide-isomerase (DB11638),C0H4Y6,DB11638
drugbank_target|C0H546,1.25e-13,"drugbank_target|C0H546 Chaperone, putative (DB11638)",C0H546,DB11638
drugbank_target|C0H5C2,9.91e-61,drugbank_target|C0H5C2 40S ribosomal protein S19 (DB11638),C0H5C2,DB11638
drugbank_target|C0H5H0,1.19e-40,"drugbank_target|C0H5H0 Heat shock protein 110, putative (DB11638)",C0H5H0,DB11638
drugbank_target|C6KSR5,1.17e-80,"drugbank_target|C6KSR5 Coatomer alpha subunit, putative (DB11638)",C6KSR5,DB11638
drugbank_target|C6KT34,0,"drugbank_target|C6KT34 Cell division cycle protein 48 homologue,putative (DB11638)",C6KT34,DB11638
drugbank_target|C6KTA4,7.27e-137,drugbank_target|C6KTA4 Pyruvate kinase (DB11638),C6KTA4,DB11638
drugbank_target|E0W492,2.43e-84,"drugbank_target|E0W492 Gaba-gated chloride channel, putative (DB17992)",E0W492,DB17992
drugbank_target|F1L7U3,0,drugbank_target|F1L7U3 Tubulin beta-2 chain (DB00518),F1L7U3,DB00518
drugbank_target|G5EBR3,0,drugbank_target|G5EBR3 Glutamate-gated chloride channel alpha (DB00602),G5EBR3,DB00602
drugbank_target|I6TLU5,1.43e-81,drugbank_target|I6TLU5 DNA polymerase (DB09299),I6TLU5,DB09299
drugbank_target|K7YNB3,2.19e-15,drugbank_target|K7YNB3 Glutathione S-transferase omega class (DB12245),K7YNB3,DB12245
drugbank_target|K9N7C7,9.64e-11,drugbank_target|K9N7C7 Replicase polyprotein 1ab (DB14761),K9N7C7,DB14761
drugbank_target|L0LZJ6,7.62e-18,drugbank_target|L0LZJ6 30S ribosomal protein S11 (DB12615),L0LZJ6,DB12615
drugbank_target|O00141,4.57e-126,drugbank_target|O00141 Serine/threonine-protein kinase Sgk1 (DB03247),O00141,DB03247
drugbank_target|O00180,7.02e-41,drugbank_target|O00180 Potassium channel subfamily K member 1 (DB00308; DB00908; DB01346),O00180,DB00308;DB00908;DB01346
drugbank_target|O00204,5.76e-40,drugbank_target|O00204 Sulfotransferase 2B1 (DB02789),O00204,DB02789
drugbank_target|O00206,2.45e-17,drugbank_target|O00206 Toll-like receptor 4 (DB00924; DB01183; DB03017; DB11193; DB13615),O00206,DB00924;DB01183;DB03017;DB11193;DB13615
drugbank_target|O00217,2.77e-100,"drugbank_target|O00217 NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (DB00157)",O00217,DB00157
drugbank_target|O00222,2.01e-147,drugbank_target|O00222 Metabotropic glutamate receptor 8 (DB00142),O00222,DB00142
drugbank_target|O00238,2.98e-109,drugbank_target|O00238 Bone morphogenetic protein receptor type-1B (DB12010),O00238,DB12010
drugbank_target|O00244,4.04e-08,drugbank_target|O00244 Copper transport protein ATOX1 (DB00515; DB02772),O00244,DB00515;DB02772
drugbank_target|O00264,7.68e-22,drugbank_target|O00264 Membrane-associated progesterone receptor component 1 (DB00540; DB01104),O00264,DB00514;DB00540;DB01104
drugbank_target|O00299,5.04e-27,drugbank_target|O00299 Chloride intracellular channel protein 1 (DB09130; DB11638),O00299,DB09130;DB11638
drugbank_target|O00305,1.54e-138,drugbank_target|O00305 Voltage-dependent L-type calcium channel subunit beta-4 (DB00243; DB00273; DB01110; DB01118; DB06712; DB13961),O00305,DB00153;DB00228;DB00243;DB00252;DB00273;DB00393;DB00421;DB00622;DB00653;DB00661;DB00825;DB01054;DB01110;DB01118;DB04855;DB06712;DB06751;DB09089;DB09236;DB09238;DB11148;DB13746;DB13961
drugbank_target|O00329,8.55e-110,"drugbank_target|O00329 Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (DB00201; DB09054; DB11952; DB12010; DB12483; DB14989; DB16217)",O00329,DB00201;DB09054;DB11952;DB12010;DB12483;DB14989;DB16217
drugbank_target|O00341,1.41e-134,drugbank_target|O00341 Excitatory amino acid transporter 5 (DB00142),O00341,DB00142
